job_id,user_id,user_expected_salary,job_title,salary_min,salary_max,city,state
936,4041618,5000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""室内设计销售员""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Sales Interior Designer""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1800,4000,Batu Caves,Selangor
38526,4041655,1800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Telemarketing""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",3000,10000,Setapak,Kuala Lumpur
46031,1981914,3000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Senior Digital Marketer""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",3000,5000,Cyberjaya,Selangor
47163,2995877,1400,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Shop Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Perbantu Kedai Dan Forecourt""}]",1200,1400,Bandar Baru Bangi,Selangor
47218,1998235,1800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""Property Agent | Real Estate Negotiator""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Property Consultant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",5000,10000,Petaling Jaya,Selangor
48453,4009062,1600,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Storekeeper""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Penjaga Stor""}]",1300,1600,Pandan Perdana,Kuala Lumpur
49252,1270435,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Service Technician ""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1500,2000,Seremban,Negeri Sembilan
53076,2687010,700,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""F&B Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pembantu Gerai Nasi Kerabu""}]",1200,2000,Setiawangsa,Kuala Lumpur
53168,3773080,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Business Development Executive""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2000,5000,Bukit Jalil,Kuala Lumpur
60202,1577066,1900,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Recruiters""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1200,1800,Kuching,Sarawak
72352,3874708,1200,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Dental Clinic Assistant ""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pembantu Pembedahan Pergigian""}]",1200,2500,Kajang,Selangor
72844,3871237,1800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Junior Videographer""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1500,1900,Iskandar Puteri,Johor
78671,4041585,1500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":"" Graphic Designer""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1200,2000,Johor Bahru,Johor
78671,3871237,1800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":"" Graphic Designer""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1200,2000,Johor Bahru,Johor
80923,13323,2500,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Sales Clerk""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",1400,2200,Shah Alam,Selangor
83634,3910198,2000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Senior Clerk""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""""}]",2300,4300,Sungai Buloh,Selangor
87723,3546474,2000,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""质量控制人员""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Quality Control Personnel""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pembantu Kawalan Kualiti""}]",1500,2000,Klang,Selangor
88440,2816024,2800,"[{""id"":1,""title"":""Chinese"",""prefix"":""zh"",""value"":""仓库助理""},{""id"":2,""title"":""English"",""prefix"":""en"",""value"":""Warehouse Assistant""},{""id"":4,""title"":""Bahasa Malaysia"",""prefix"":""ms"",""value"":""Pembantu Gudang""}]",1500,2000,Rawang,Selangor
